epoch,D_loss,G_loss
1,0.4268557099115605,2.930332797910467
2,0.4267157737256149,2.207290485715103
3,0.3313229749920813,2.633707168596338
4,0.2667840976539432,3.004706565052205
5,0.19893708047775704,3.419320507094297
6,0.1724976801414199,3.782672181996881
7,0.15019946908228773,4.041458208952716
8,0.13342542005661734,4.1539922948951356
9,0.11627029283815135,4.377695605796135
10,0.16001331835273844,4.373965785614571
11,0.0685282782487012,4.713937264326425
12,0.14108577151279114,4.524686514338269
13,0.08978831040966952,4.963073902226837
14,0.1154804683699546,4.868491919624884
15,0.12354350576298538,4.734360616000382
16,0.11252532120039542,5.0313880886311
17,0.07833345827366951,5.163793882815615
18,0.06948121511644662,5.423380212837761
19,0.09949272086357627,5.409746910126728
20,0.03988271359422102,5.5724719169387225
21,0.09456514451415308,5.512298280632259
22,0.042743230579579225,5.8125164580529365
23,0.11682401864664016,5.546233682619268
24,0.05546317713655877,5.635184175690542
25,0.04591413855009916,5.935874065552852
26,0.06843020042037554,5.958482818460096
27,0.08497201210498465,5.858625358899862
28,0.07702766794099207,5.88417847879708
29,0.05790319346188553,5.9964968977253434
30,0.014854582793708422,6.3555909845213225
31,0.10613576777224895,5.84849754887043
32,0.05787159824999826,5.977935621938432
33,0.03007098867390387,6.339062957574201
34,0.08599288621583283,5.953784115694742
35,0.06763154759342119,6.1594034755729945
36,0.03452550148769749,6.363626766810091
37,0.06270733199192306,6.546326612695953
38,0.04140358841703037,6.25617897091125
39,0.04163957439827122,6.648507783127739
40,0.018601083668914088,6.737008586756178
41,0.07089967598596889,6.4205349878003
42,0.05080856318163087,6.6069389060633075
43,0.011881248308083549,6.975538877461919
44,0.06715499043616797,6.403909707256895
45,0.06922009040412151,6.758176342672597
46,0.03343705055840975,6.692553015076299
47,0.015219011719731272,6.822874018424921
48,0.047635870179645594,6.768851371889083
49,0.05588935750817251,6.917775100166961
50,0.010375912013801872,7.02433475016495
51,0.058332933789177206,6.788457207891589
52,0.056649066562811635,6.901633456694764
53,0.011482187810137552,7.095205870158888
54,0.03629431106169681,7.031276208412305
55,0.05797456886717499,7.186203427787533
56,0.010720981262425355,7.1861272716101166
57,0.06650889174961053,6.92107900036355
58,0.009574660248710069,7.044055708723089
59,0.04776818951326895,7.015099477458737
60,0.036864030568037595,7.447104187382109
61,0.049564767431284795,7.0184877807023645
62,0.011917725530125111,7.119278689883402
63,0.03479994445090659,7.382832399892228
64,0.03531993779955919,7.431772401264435
65,0.028383730331918423,7.417542970535771
66,0.037439296521641165,7.449576880758172
67,0.015562172539603627,7.325672643863602
68,0.032699012780787164,7.364250751882462
69,0.029802868646547964,7.44734919426457
70,0.03159447740633005,7.5150307804411876
71,0.01708152129207676,7.670865965731623
72,0.048014492224506156,7.310089886007588
73,0.03213461480692192,7.615969681943753
74,0.01069234538455617,7.624912761957703
75,0.030279456614253263,7.613848161651336
